Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Triglav,https://www.hribi.net/gora/triglav/1/1,Julijske Alpe,2864,lahka,zahtevna,1
Storžič,https://www.hribi.net/gora/storzic/3/85,Kamniško Savinjske Alpe,2132,lahka,zahtevna,2
Stol,https://www.hribi.net/gora/stol/11/53,Karavanke,2236,lahka,zahtevna,3
Grintovec,https://www.hribi.net/gora/grintovec/3/16,Kamniško Savinjske Alpe,2558,lahka,zahtevna,4
Dom na Kofcah,https://www.hribi.net/gora/dom_na_kofcah/11/223,Karavanke,1488,lahka,lahka,5
Kamniška koča na Kamniškem sedlu,https://www.hribi.net/gora/kamniska_koca_na_kamniskem_sedlu/3/95,Kamniško Savinjske Alpe,1864,lahka,zahtevna,6
Begunjščica,https://www.hribi.net/gora/begunjscica/11/52,Karavanke,2060,lahka,delno zahtevna,7
Viševnik,https://www.hribi.net/gora/visevnik/1/77,Julijske Alpe,2050,lahka,delno zahtevna,8
Gradišče (Velika planina),https://www.hribi.net/gora/gradisce_velika_planina/3/169,Kamniško Savinjske Alpe,1666,lahka,zahtevna,9
Koča na Kriški gori,https://www.hribi.net/gora/koca_na_kriski_gori/3/121,Kamniško Savinjske Alpe,1471,lahka,lahka,10
Koča pri Triglavskih jezerih,https://www.hribi.net/gora/koca_pri_triglavskih_jezerih/1/133,Julijske Alpe,1685,lahka,zahtevna,11
Golica,https://www.hribi.net/gora/golica/11/252,Karavanke,1835,lahka,delno zahtevna,12
Velika Raduha,https://www.hribi.net/gora/velika_raduha/3/148,Kamniško Savinjske Alpe,2062,lahka,zahtevna,13
Debela peč,https://www.hribi.net/gora/debela_pec/1/84,Julijske Alpe,2014,lahka,zahtevna,14
Krn,https://www.hribi.net/gora/krn/1/150,Julijske Alpe,2244,lahka,zahtevna,15
Ojstrica,https://www.hribi.net/gora/ojstrica/3/146,Kamniško Savinjske Alpe,2350,zahtevna,zahtevna,16
Vojkova koča na Nanosu,https://www.hribi.net/gora/vojkova_koca_na_nanosu/26/471,"Goriško, Notranjsko in Snežniško hribovje",1240,lahka,zahtevna,17
Mangart,https://www.hribi.net/gora/mangart/1/4,Julijske Alpe,2679,lahka,zahtevna,18
Blegoš,https://www.hribi.net/gora/blegos/21/176,"Škofjeloško, Cerkljansko hribovje in Jelovica",1562,lahka,delno zahtevna,19
Snežnik,https://www.hribi.net/gora/sneznik/26/127,"Goriško, Notranjsko in Snežniško hribovje",1796,lahka,lahka,20
Veliki vrh (Košuta),https://www.hribi.net/gora/veliki_vrh_kosuta/11/74,Karavanke,2088,lahka,zahtevna,21
Slavnik,https://www.hribi.net/gora/slavnik/26/778,"Goriško, Notranjsko in Snežniško hribovje",1028,lahka,lahka,22
Prisank / Prisojnik,https://www.hribi.net/gora/prisank___prisojnik/1/18,Julijske Alpe,2547,zahtevna,zahtevna,23
Slemenova špica,https://www.hribi.net/gora/slemenova_spica/1/240,Julijske Alpe,1911,lahka,zahtevna,24
Jalovec,https://www.hribi.net/gora/jalovec/1/6,Julijske Alpe,2645,zahtevna,zahtevna,25
Altemaver (Ratitovec),https://www.hribi.net/gora/altemaver_ratitovec/21/1310,"Škofjeloško, Cerkljansko hribovje in Jelovica",1678,lahka,lahka,26
Kordeževa glava (Peca),https://www.hribi.net/gora/kordezeva_glava_peca/11/665,Karavanke,2125,lahka,zahtevna,27
Skuta,https://www.hribi.net/gora/skuta/3/28,Kamniško Savinjske Alpe,2532,zahtevna,zahtevna,28
Češka koča na Spodnjih Ravneh,https://www.hribi.net/gora/ceska_koca_na_spodnjih_ravneh/3/183,Kamniško Savinjske Alpe,1542,delno zahtevna,zahtevna,29
Uršlja gora (Plešivec),https://www.hribi.net/gora/urslja_gora_plesivec/11/592,Karavanke,1699,lahka,lahka,30
Roblekov dom na Begunjščici,https://www.hribi.net/gora/roblekov_dom_na_begunjscici/11/195,Karavanke,1657,lahka,delno zahtevna,31
Pogačnikov dom na Kriških podih,https://www.hribi.net/gora/pogacnikov_dom_na_kriskih_podih/1/164,Julijske Alpe,2050,lahka,zahtevna,32
Krim,https://www.hribi.net/gora/krim/26/178,"Goriško, Notranjsko in Snežniško hribovje",1107,lahka,delno zahtevna,33
Brana,https://www.hribi.net/gora/brana/3/96,Kamniško Savinjske Alpe,2253,zahtevna,zahtevna,34
Mala Mojstrovka,https://www.hribi.net/gora/mala_mojstrovka/1/224,Julijske Alpe,2332,lahka,zahtevna,35
Krekova koča na Ratitovcu,https://www.hribi.net/gora/krekova_koca_na_ratitovcu/21/147,"Škofjeloško, Cerkljansko hribovje in Jelovica",1642,lahka,delno zahtevna,36
Šmarna gora,https://www.hribi.net/gora/smarna_gora/5/117,Polhograjsko hribovje in Ljubljana,669,lahka,zahtevna,37
